Índice,Tema/Subtema/Tópico,Título,Contagem Total,Participação Total,2013,2014,2015,2016,2017,2018,2019,2020,2024,2025
1,Tema,Os seres vivos e sua relação com o ambiente,132,1.0,11,12,16,10,12,13,14,15,14,15
1.1,Subtema,Biodiversidade,23,0.17424242424242425,1,0,5,1,2,1,3,3,4,3
1.1.1,Tópico,Biodiversidade - características gerais dos principais grupos de seres vivos; teorias e conceitos de evolução,23,0.17424242424242425,1,0,5,1,2,1,3,3,4,3
1.2,Subtema,Integração entre seres vivos e meio ambiente,17,0.12878787878787878,2,1,2,1,2,2,1,2,1,3
1.2.1,Tópico,"Integração entre seres vivos e meio ambiente - ecossistemas, cadeia alimentar, ciclos biogeoquímicos; poluição e desequilíbrio ecológico",18,0.13636363636363635,2,2,2,1,2,2,1,2,1,3
1.3,Subtema,A célula,10,0.07575757575757576,2,0,0,0,1,2,2,0,1,2
1.3.1,Tópico,A célula - funções das estruturas e organelas; fases da divisão celular,10,0.07575757575757576,2,0,0,0,1,2,2,0,1,2
1.4,Subtema,As bases da genética,14,0.10606060606060606,0,2,2,1,1,3,1,2,1,1
1.4.1,Tópico,As bases da genética - genes; código genético; cromossomos; hereditariedade e doenças hereditárias,14,0.10606060606060606,0,2,2,1,1,3,1,2,1,1
1.5,Subtema,Doenças parasitárias,8,0.06060606060606061,1,1,0,0,0,1,0,1,2,2
1.5.1,Tópico,"Doenças parasitárias - ciclos de vida de parasitas, modos de transmissão; profilaxia",8,0.06060606060606061,1,1,0,0,0,1,0,1,2,2
1.6,Subtema,Sistemas vitais dos animais e vegetais,60,0.45454545454545453,5,8,7,7,6,4,7,7,5,4
1.6.1,Tópico,"Sistemas vitais dos animais e vegetais - homeostase, digestão e absorção dos alimentos; respiração; circulação; excreção; metabolismo de carboidratos, de lipídios e de proteínas; funções dos hormônios no metabolismo",37,0.2803030303030303,4,5,4,5,3,2,5,5,2,2
1.6.2,Tópico,Sistemas vitais dos animais e vegetais - sistemas reprodutores; produção de óvulos e espermatozoides na reprodução humana; atuação dos hormônios sexuais,13,0.09848484848484848,0,1,2,1,1,1,2,1,2,2
1.6.3,Tópico,Sistemas vitais dos animais e vegetais - fotossíntese,9,0.06818181818181818,1,1,1,1,2,1,0,1,1,0
